autoID,SeniorCity,Partner,Dependents,Service1,Service2,Security,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,Charges,Demand,Class
6837-BJYDQ,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,61.35,Alpha
2135-RXIHG,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Betha
6440-DKQGE,0,No,Yes,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),64.5,1929.95,Alpha
3466-BYAVD,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,Alpha
3780-YVMFA,0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,Alpha
3874-EQOEP,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,95,655.5,Betha
1679-JRFBR,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),108.15,7930.55,Alpha
9073-ZZIAY,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86.1,5215.25,Alpha
3077-RSNTJ,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,113.5,Alpha
6551-GNYDG,0,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,Alpha
9167-APMXZ,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,Alpha
2749-CTKAJ,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.15,419.9,Alpha
6371-NZYEG,0,Yes,Yes,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,64.25,1024,Alpha
7554-NEWDD,0,No,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.7,251.6,Alpha
8992-VONJD,0,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,56,764.55,Alpha
0867-MKZVY,0,Yes,No,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Betha
4482-EWFMI,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,135.2,Alpha
4648-YPBTM,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,Alpha
2907-ILJBN,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.6,233.9,Alpha
6345-FZOQH,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,1363.45,Alpha
3376-BMGFE,0,No,No,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Betha
5997-OPVFA,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,Alpha
3445-HXXGF,1,Yes,No,No,No phone service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,45.3,2651.2,Betha
1159-WFSGR,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.4,321.4,Alpha
7654-YWJUF,0,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),84.25,3539.25,Alpha
1875-QIVME,0,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Betha
6727-IOTLZ,0,Yes,No,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,81.95,1181.75,Alpha
0691-JVSYA,0,Yes,No,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),94.85,5000.2,Betha
5918-VUKWP,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.55,654.55,Alpha
1744-JHKYS,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.7,780.2,Alpha
2656-FMOKZ,1,No,No,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Betha
2070-FNEXE,1,No,No,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Betha
5947-SGKCL,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,Alpha
3712-PKXZA,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.55,1252,Alpha
6317-YPKDH,0,No,No,No,No phone service,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Betha
6582-OIVSP,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,45.3,45.3,Alpha
9367-WXLCH,0,No,No,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Betha
5524-KHNJP,0,Yes,Yes,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),74.75,2453.3,Alpha
1918-ZBFQJ,0,No,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Betha
1024-GUALD,0,Yes,No,No,No phone service,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Betha
4827-USJHP,0,No,No,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.8,1023.85,Alpha
8167-GJLRN,0,No,No,No,No phone service,No,No,No,Yes,Month-to-month,No,Electronic check,30.4,82.15,Alpha
0956-SYCWG,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.65,244.8,Alpha
8017-UVSZU,0,Yes,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),56.6,2379.1,Alpha
7100-FQPRV,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),71.9,3173.35,Alpha
2472-OVKUP,0,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,91,531,Betha
2984-RGEYA,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.75,1375.4,Alpha
9680-NIAUV,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),109.7,8129.3,Alpha
2146-EGVDT,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.3,1192.7,Alpha
2604-IJPDU,0,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,96.55,1901.65,Alpha
9178-JHUVJ,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.1,587.4,Alpha
6168-YBYNP,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.35,6519.75,Alpha
7255-SSFBC,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.25,8041.65,Alpha
3645-DEYGF,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.75,20.75,Alpha
9323-HGFWY,0,Yes,No,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),101.9,2681.15,Alpha
8544-GOQSH,0,No,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),80.05,1112.3,Alpha
3363-DTIVD,0,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,105.55,7405.5,Alpha
7018-WBJNK,0,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),78.3,1033.95,Alpha
9142-KZXOP,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),68.85,2958.95,Alpha
7674-YTAFD,0,No,No,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),79.95,2684.85,Alpha
6348-SNFUS,0,Yes,Yes,No,No phone service,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),55.45,4179.2,Alpha
1285-OKIPP,0,No,No,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,79.9,79.9,Betha
